Job Title,Location,Incentives,Due Date,URL,Scraped Date,Last Seen
Clinical Research Nurse,"Blacktown, Blacktown Hospital | Western Sydney",,19th june 2025,https://jobs.health.nsw.gov.au/jobs/clinical-research-nurse-294627,2025-06-06,2025-06-15
Registered Nurse Mental Health Mother and Baby Unit,"Westmead, Western Sydney Mental Health Service | Western Sydney",,19th june 2025,https://jobs.health.nsw.gov.au/jobs/registered-nurse-mental-health-mother-and-baby-unit-294626,2025-06-06,2025-06-15
CCLHD - Registered Nurse - Mental Health Team Gosford,Central Coast and 1 additional location,,sunday 15 june at 11:59 pm 2025,https://jobs.health.nsw.gov.au/jobs/cclhd-registered-nurse-mental-health-team-gosford-294625,2025-06-06,2025-06-15
Virtual Clinical Care Centre Triage Clinician (RN),"Gladesville, Gladesville Hospital | Sydney",, 22 june 2025,https://jobs.health.nsw.gov.au/jobs/virtual-clinical-care-centre-triage-clinician-rn-294623,2025-06-06,2025-06-25
ICU Transition To Specialty Practice Program - Wagga Wagga (Incentives Offered),"Wagga Wagga, Wagga Wagga Base Hospital | Riverina","incentive value dependent on full-time equivalent, position and location). find out more here employment type: temporary full time (from 10 august 2025 until 7 august 2027)position classification: registered nurseremuneration: $72,152.53; incentives under the nsw rural health workforce incentive scheme, including up to; incentive, and up to; incentive value dependent on full- time equivalent, position and location). find out more here salary packaging up to", 27 june 2025,https://jobs.health.nsw.gov.au/jobs/icu-transition-to-specialty-practice-program-wagga-wagga-incentives-offered-294617,2025-06-06,2025-06-25
Registered Nurse - Drug Health Services - Perm FT,"Bankstown, Bankstown Hospital | Western Sydney",,22/06/2025,https://jobs.health.nsw.gov.au/jobs/registered-nurse-drug-health-services-perm-ft-294598,2025-06-06,2025-06-15
Registered Nurse - Emergency - Deniliquin (Incentives Offered),"Deniliquin, Deniliquin Health Service | Murray","incentives under the nsw rural health workforce incentive scheme, including up to; incentive, and up to; incentive value dependent on full-time equivalent, position and location). find out more here employment type: full time, part time and casual opportunities availableposition classification: registered nurseremuneration: $72,152.53; incentive value dependent on full - time equivalent, position and location). find out more here– salary packaging up to", 4 july 2025,https://jobs.health.nsw.gov.au/jobs/registered-nurse-emergency-deniliquin-incentives-offered-294611,2025-06-06,2025-06-25
Registered Nurse - Renal Unit - Griffith,"Griffith, Griffith Base Hospital | Riverina",, 27 june 2025,https://jobs.health.nsw.gov.au/jobs/registered-nurse-renal-unit-griffith-294605,2025-06-06,2025-06-25
Registered Nurse Mental Health Inpatient Unit,"Broken Hill, Broken Hill Health Service | Far West",annual recruitment incentive package up to the value of; annual leave per year (pro-rata) salary packaging (pay less tax) and enjoy up to, 23 june 2025,https://jobs.health.nsw.gov.au/jobs/registered-nurse-mental-health-inpatient-unit-294590,2025-06-06,2025-06-15
Haemodialysis Registered Nurse,"Broken Hill, Broken Hill Health Service | Far West",annual recruitment incentive package up to the value of, 23 june 2025,https://jobs.health.nsw.gov.au/jobs/haemodialysis-registered-nurse-294591,2025-06-06,2025-06-15
"Registered Nurse, Radiation Oncology","Randwick, Prince of Wales Hospital | Sydney",,"sunday, 22 june 2025",https://jobs.health.nsw.gov.au/jobs/registered-nurse-radiation-oncology-294587,2025-06-06,2025-06-15
Registered Nurse - Acute General Surgery,"Kingswood, Nepean Hospital | Western Sydney",,17/06/2025,https://jobs.health.nsw.gov.au/jobs/registered-nurse-acute-general-surgery-294563,2025-06-06,2025-06-15
"Registered Nurse, Community Nursing - Ballina","Ballina, Ballina Community Health | Far North Coast",, 19 june 2025,https://jobs.health.nsw.gov.au/jobs/registered-nurse-community-nursing-ballina-294557,2025-06-06,2025-06-15
Registered Nurse - Post-Transplant - Perm FT,"Liverpool, Liverpool Hospital | Western Sydney",,22/06/2025,https://jobs.health.nsw.gov.au/jobs/registered-nurse-post-transplant-perm-ft-294567,2025-06-06,2025-06-15
"Registered Nurse (RN2-8), Primary Care - Various - Junee Correctional Centre","Junee, Junee Justice Health | Riverina",,"thursday, 19 june 2025",https://jobs.health.nsw.gov.au/jobs/registered-nurse-rn2-8-primary-care-various-junee-correctional-centre-294558,2025-06-06,2025-06-15
Registered Nurse - Palliative Care,"Broken Hill, Broken Hill Health Service | Far West",annual recruitment incentive package up to the value of,23rd june 2025,https://jobs.health.nsw.gov.au/jobs/registered-nurse-palliative-care-294551,2025-06-06,2025-06-15
Registered Nurse - Case Management - Port Macquarie Community Mental Health - Incentives Offered,"Port Macquarie, Port Macquarie Base Hospital | Mid North Coast",incentive package of up to, 19 june 2025,https://jobs.health.nsw.gov.au/jobs/registered-nurse-case-management-port-macquarie-community-mental-health-incentives-offered-294547,2025-06-06,2025-06-15
Registered Nurse - Hospital in The Home,"Broken Hill, Broken Hill Health Service | Far West",annual recruitment incentive package up to the value of; annual leave per year salary packaging (pay less tax!) $9009,23rd june 2025,https://jobs.health.nsw.gov.au/jobs/registered-nurse-hospital-in-the-home-294546,2025-06-06,2025-06-15
Registered Nurse - Child & Family (Casual),"Gilgandra, Gilgandra Multi Purpose Service | Orana",,18th june 2025,https://jobs.health.nsw.gov.au/jobs/registered-nurse-child-family-casual-294530,2025-06-06,2025-06-15
Registered Nurse White Cliffs,"Wilcannia, Wilcannia District Hospital | Far West",annual recruitment incentive package up to the value of, 18 june 2025,https://jobs.health.nsw.gov.au/jobs/registered-nurse-white-cliffs-294533,2025-06-06,2025-06-15
Registered Nurse Ivanhoe,"Ivanhoe, Ivanhoe Health Service | Far West",annual recruitment incentive package up to the value of,18th june 2025,https://jobs.health.nsw.gov.au/jobs/registered-nurse-ivanhoe-294537,2025-06-06,2025-06-25
Registered Nurse - Liver Clinic,"Concord, Concord Repatriation General Hospital | Sydney",, 15 june 2025,https://jobs.health.nsw.gov.au/jobs/registered-nurse-liver-clinic-294532,2025-06-06,2025-06-15
Registered Nurse - Emergency Department- 5-10k Incentives Offered,"Forbes, Forbes Health Service | Central West",, 18 june 2025,https://jobs.health.nsw.gov.au/jobs/registered-nurse-emergency-department-5-10k-incentives-offered-294527,2025-06-06,2025-06-15
Registered Nurse - Community Health - Coffs Harbour Health Campus,"Coffs Harbour, Coffs Harbour Health Campus | Mid North Coast",, 19 june 2025,https://jobs.health.nsw.gov.au/jobs/registered-nurse-community-health-coffs-harbour-health-campus-294522,2025-06-06,2025-06-15
Registered Nurse,"Auburn, Auburn District Hospital | Western Sydney",,19th june 2025,https://jobs.health.nsw.gov.au/jobs/registered-nurse-294518,2025-06-06,2025-06-15
Registered Nurse - Emergency Department - $5k Incentives Offered - Cooma Hospital,"Cooma, Cooma District Hospital | South Coast","recruitment process. please contact the hiring manager - amy simpson should you require assistance.if you are an aboriginal person and seek support in applying for a role, please visit the stepping up website, which has been designed to support aboriginal job applicants in applying for positions at nsw health. visit: https://www.steppingup.health.nsw.gov.au/ the welcome experiencewe know how incredible a life and career in regional nsw can be and we want to make that possibility easier for essential workers and their families who are considering making the move. whether it’s just an initial enquiry, or you’re ready to pack your bags, the welcome experience can provide local advice on what life is like in regional nsw. workers will be provided with concierge-like service and information tailored to the specific needs of each individual or family a team member from the nsw government - department of regional nsw called a local connector will discuss the concerns, questions and needs of each individual and connect them with the right people and services, to ensure their move and transition into the community is as easy as possible.to find out more on what it is like to live and work in regional nsw click here the welcome experience. and register your details via the welcome experience registration.what we offer:• salary packaging – up to; incentive scheme with a value of up to", 14 june 2025,https://jobs.health.nsw.gov.au/jobs/registered-nurse-emergency-department-5k-incentives-offered-cooma-hospital-294514,2025-06-06,2025-06-06
Registered Nurse (Hepatology Outpatients) Perm PT,"Liverpool, Liverpool Hospital | Western Sydney",,15/06/2025,https://jobs.health.nsw.gov.au/jobs/registered-nurse-hepatology-outpatients-perm-pt-294465,2025-06-06,2025-06-15
Registered Nurse - Reproductive Medicine Department,"Randwick, Royal Hospital for Women | Sydney",,,https://jobs.health.nsw.gov.au/jobs/registered-nurse-reproductive-medicine-department-294459,2025-06-06,2025-06-15
Registered Nurse - Clinical Trials (Immunology and Allergy) Temp PT,"Campbelltown, Campbelltown Hospital | Western Sydney",,22/06/2025,https://jobs.health.nsw.gov.au/jobs/registered-nurse-clinical-trials-immunology-and-allergy-temp-pt-294458,2025-06-06,2025-06-15
Registered Nurse - Inpatient Unit Acute - Macksville Hospital,"Macksville, Macksville District Hospital | Mid North Coast",, 18 july 2025,https://jobs.health.nsw.gov.au/jobs/registered-nurse-inpatient-unit-acute-macksville-hospital-294442,2025-06-06,2025-06-15
Registered Nurse - Pre Admissions,"Concord, Concord Repatriation General Hospital | Sydney",, 15 june 2025,https://jobs.health.nsw.gov.au/jobs/registered-nurse-pre-admissions-294441,2025-06-06,2025-06-15
Registered Nurse - Illawarra Cancer Care Centre,"Wollongong, Illawarra Cancer Care Centre (ICCC) | Illawarra",, 18 june 2025,https://jobs.health.nsw.gov.au/jobs/registered-nurse-illawarra-cancer-care-centre-294385,2025-06-06,2025-06-15
Registered Nurse - Acute Services - $10k plus $5k Incentives Offered,"Orange, Bloomfield Hospital | Central West","salary packaging options) + nsw health – rural health workforce incentive scheme (conditions apply – to find out more, visit western nsw lhd incentives) location: bloomfield, nsw – find out morehours per week: 38 applications close: 17 june 2025 – 11:59pm registered nurse - acute services - $10", 17 june 2025,https://jobs.health.nsw.gov.au/jobs/registered-nurse-acute-services-10k-plus-5k-incentives-offered-294388,2025-06-06,2025-06-15
